scenario,path,listeners,iterations,best_ns_per_op,median_ns_per_op,mean_ns_per_op,callback_count
port_lookup,kernel_extension,0,5000,15185.940,17111.980,17128.128,0
port_lookup,com_adaptor_extension,0,5000,15232.840,16428.320,16793.496,0
port_lookup,plain_inline_member,0,5000,14.140,14.420,14.432,0
port_lookup,plain_external_unordered_map,0,5000,165.940,168.660,170.492,0
lookup_plus_emit,kernel_extension,0,1000,13529.600,14751.500,15796.140,0
lookup_plus_emit,com_adaptor_extension,0,1000,14197.500,16494.000,17159.680,0
lookup_plus_emit,plain_inline_member,0,1000,358.300,616.100,568.380,0
lookup_plus_emit,plain_external_unordered_map,0,1000,566.900,625.500,776.060,0
lookup_plus_emit,kernel_extension,1,500,18426.400,20964.600,20779.560,2564
lookup_plus_emit,com_adaptor_extension,1,500,16011.000,20513.800,19776.920,2564
lookup_plus_emit,plain_inline_member,1,500,753.800,758.800,834.400,2564
lookup_plus_emit,plain_external_unordered_map,1,500,959.000,965.600,1056.720,2564
lookup_plus_emit,kernel_extension,8,150,18998.000,24983.333,25936.533,6160
lookup_plus_emit,com_adaptor_extension,8,150,16418.000,22288.667,20275.600,6160
lookup_plus_emit,plain_inline_member,8,150,3002.000,3496.667,3823.467,6160
lookup_plus_emit,plain_external_unordered_map,8,150,3240.000,3428.667,3503.333,6160
lookup_plus_emit,kernel_extension,64,40,50615.000,52975.000,55028.000,13184
lookup_plus_emit,com_adaptor_extension,64,40,39075.000,46437.500,49174.000,13184
lookup_plus_emit,plain_inline_member,64,40,30492.500,30807.500,31091.000,13184
lookup_plus_emit,plain_external_unordered_map,64,40,31342.500,31677.500,31679.000,13184
