scenario,path,listeners,iterations,best_ns_per_op,median_ns_per_op,mean_ns_per_op,callback_count
port_lookup,kernel_extension,0,500000,170.639,178.462,176.272,0
port_lookup,com_adaptor_extension,0,500000,158.407,175.517,173.710,0
port_lookup,plain_inline_member,0,500000,0.635,0.648,0.646,0
port_lookup,plain_external_unordered_map,0,500000,11.400,13.386,12.998,0
lookup_plus_emit,kernel_extension,0,100000,265.681,273.535,273.682,0
lookup_plus_emit,com_adaptor_extension,0,100000,251.096,266.901,264.977,0
lookup_plus_emit,plain_inline_member,0,100000,117.284,124.521,124.160,0
lookup_plus_emit,plain_external_unordered_map,0,100000,123.633,130.907,130.365,0
lookup_plus_emit,kernel_extension,1,50000,341.050,371.634,374.404,256252
lookup_plus_emit,com_adaptor_extension,1,50000,265.220,269.264,274.232,256252
lookup_plus_emit,plain_inline_member,1,50000,114.568,122.000,124.950,256252
lookup_plus_emit,plain_external_unordered_map,1,50000,116.234,131.816,130.371,256252
lookup_plus_emit,kernel_extension,8,15000,954.687,1130.900,1086.017,615008
lookup_plus_emit,com_adaptor_extension,8,15000,314.273,344.240,342.939,615008
lookup_plus_emit,plain_inline_member,8,15000,142.933,146.200,146.727,615008
lookup_plus_emit,plain_external_unordered_map,8,15000,139.667,157.980,155.885,615008
lookup_plus_emit,kernel_extension,64,4000,5578.250,5812.975,5838.510,1312128
lookup_plus_emit,com_adaptor_extension,64,4000,625.100,746.850,729.115,1312128
lookup_plus_emit,plain_inline_member,64,4000,402.850,404.300,430.595,1312128
lookup_plus_emit,plain_external_unordered_map,64,4000,394.850,460.250,488.160,1312128
