container,operation,n,samples,median_ns_per_op,mad_ns_per_op,min_ns_per_op,max_ns_per_op,mean_ns_per_op
std::deque,build_insert,64,5,57.1381,18.255700000000004,38.8824,92.0471,64.07166
std::deque,build_insert,96,5,68.4163,2.860599999999991,39.4165,71.2769,62.96510000000001
std::deque,build_insert,128,5,37.4481,0.9566999999999979,36.4914,64.183,43.14026
std::deque,build_insert,192,5,56.5125,4.6753,38.2029,61.3352,52.93092
std::deque,build_insert,256,5,60.4406,1.1828000000000003,39.4484,63.8008,56.811080000000004
std::deque,build_insert,384,5,62.8558,1.7580000000000027,61.0978,73.5118,65.57932
std::deque,build_insert,512,5,62.1633,2.910900000000005,48.8969,66.4367,60.7889
std::deque,build_insert,768,5,57.9427,4.0184,53.3258,62.7957,57.958079999999995
std::deque,build_insert,1024,5,65.5469,4.407099999999993,41.6867,77.1422,62.845000000000006
std::deque,build_insert,1536,5,78.7455,1.7743000000000109,69.2434,94.7321,79.92442
std::deque,build_insert,2048,5,88.7955,8.063699999999997,78.633,107.689,90.02098
std::deque,build_insert,3072,5,67.7941,11.854500000000002,55.9396,100.053,73.00666
std::deque,build_insert,4096,5,63.1237,11.4407,49.459,77.5564,61.403740000000006
std::deque,build_insert,6144,5,63.8062,4.253,59.5532,101.678,71.52718
std::deque,build_insert,8192,5,99.401,12.960000000000008,86.2793,114.15,101.41532
std::deque,build_insert,12288,5,85.7104,4.189400000000006,78.0103,238.424,113.93397999999999
std::deque,build_insert,16384,5,145.744,44.617000000000004,97.0101,307.604,162.67442
std::deque,build_insert,24576,5,109.706,11.36,93.2088,198.917,125.87536
std::deque,build_insert,32768,5,103.798,11.864800000000002,91.9332,132.421,111.24524000000001
std::deque,build_insert,49152,5,103.861,8.735700000000008,84.9162,139.595,106.78410000000001
std::deque,build_insert,65536,5,144.67,37.152000000000015,80.9113,181.822,137.61866
std::deque,build_insert,98304,5,94.576,10.0779,84.4981,144.283,108.35911999999999
std::deque,build_insert,131072,5,103.387,5.666700000000006,97.7203,149.71,117.73186000000001
std::deque,build_insert,196608,5,97.8155,11.019400000000005,80.7887,126.681,99.36125999999999
